Deutsch;Englisch;italienisch;franzoesisch
deutsch1;englisch1;italiano1;france1
deutsch2;englisch2;italiano2;france2
deutsch3;englisch3;italiano3;france3
;englisch4;italiano4;france4
deutsch5;;italiano5;france5
deutsch6;englisch6;;france6
deutsch7;englisch7;italiano7;
deutsch8;englisch8;italiano8;france8
deutsch9;englisch9;italiano9;france9
deutsch10;englisch10;italiano10;france10
deutsch11;englisch11;italiano11;france11
deutsch12;englisch12;italiano12;france12
deutsch13;englisch13;italiano13;france13
deutsch14;englisch14;italiano14;france14
deutsch15;englisch15;italiano15;france15
deutsch16;englisch16;italiano16;france16
deutsch17;englisch17;italiano17;france17
